Galaxy,Y*,rho0,Rc,Y*_error,rho0_error,Rc_error
NGC0100,0.30908534492232276,29740155.778404403,2.5784945979041556,[0.29806229 0.32012493],[28949546.66504567 30603554.65078798],[2.53767626 2.61853437]
NGC3109,0.005244833633794421,20515752.090851296,2.7654409395910435,[0.00106123 0.01369039],[20446183.7911041 20566775.8286504],[2.75976034 2.77276982]
F567-2,0.8827534349490782,9497314.505072936,1.6353004946395968,[0.79344686 0.95815419],[ 7209817.39442766 12985590.59892973],[1.43699848 1.86035686]
UGC10310,0.9930939882730316,36405294.67595252,1.3163292774915543,[0.98258078 0.99796925],[35090313.08644112 38047540.86707918],[1.28416648 1.34810088]
F574-2,0.42559472940141635,1.0873919862899092e-71,1.016054904262728e-110,[0.3993959  0.44727614],[8.98994958e-212 3.11663281e-006],[1.16432636e-239 2.27534115e-018]
D564-8,0.09904873034988126,14890964.272630425,1.1437832977387363,[0.03863282 0.16532329],[14071474.05424448 15605357.20467822],[1.11146357 1.18455827]
F563-V2,0.995701407805854,110464890.48673719,1.5706348611688308,[0.98771871 0.9994365 ],[1.08036991e+08 1.13082731e+08],[1.54451819 1.59732278]
NGC2998,0.4497659373091686,18966660.45453311,5.910142314266647,[0.44852219 0.45122054],[18707616.70545825 19212661.9725937 ],[5.87063139 5.95263701]
UGC06917,0.15417792769562821,88648665.54097937,1.652351464848549,[0.14167698 0.16617353],[86452626.28369142 90743956.8267023 ],[1.63665577 1.67064519]
NGC0247,0.9999396617177254,28329992.7952872,1.6479778281406274,[0.99979668 1.01340117],[28264988.17166239 28383618.25376644],[1.64510364 1.65019068]
NGC3893,0.2932171513590165,153963340.78607953,1.8887536307544561,[0.29155918 0.2947074 ],[1.51294852e+08 1.57569802e+08],[1.86640214 1.9059873 ]
UGC12732,0.0002022146447493929,53704616.81556218,1.7080999301965714,[-0.01319396  0.00081033],[52991550.14290889 54093921.78997529],[1.70009398 1.71707313]
UGC09037,3.171526256167338e-05,64807774.024306014,2.7459219965690624,[-1.05387462e-02  9.89270444e-05],[64569059.66603728 65020275.56583866],[2.73871124 2.75179327]
UGC09992,0.5675761794479756,645926402.436124,0.1202089555083938,[0.45002126 0.69286058],[4.05714189e+08 8.81712834e+08],[0.10039877 0.14636381]
NGC4068,0.4724922024039041,9663013.229028622,233.946127383342,[0.46195691 0.48233451],[9493075.93405055 9871823.96964602],[1.06426115e+01 6.24233211e+04]
UGC06973,0.10153301054931022,542588566.428115,1.0231871584094123,[0.10064235 0.1025259 ],[5.26409348e+08 5.59164869e+08],[1.00679057 1.04022606]
UGC05750,0.9041789419164654,5039455.704343823,4.7161537367609245,[0.85766674 0.95601206],[4755665.90396849 5328769.28841467],[4.58027159 4.86619377]
KK98-251,0.05891855471269315,14112186.222888242,1.736086714592218,[0.01856549 0.11788956],[13704109.60499976 14395266.78889018],[1.71506827 1.76054336]
UGC06628,0.45405989153140935,7.00434399495434e-135,1.6015624310936224e-85,[0.44354219 0.46374397],[9.46425685e-256 4.31049705e-026],[4.96932599e-229 8.63539212e-016]
NGC3877,0.5331886550260149,2.1663982034455324e-116,1.7302373392073881e-74,[0.53300104 0.53337557],[3.05559589e-247 1.49776506e-015],[5.82984881e-207 1.21952601e-010]
UGC07577,0.14600888067687934,3680465.816505895,2901.64437313775,[0.10041887 0.18828601],[3388417.10193185 3981825.56091947],[4.11526685e+01 1.34679400e+05]
NGC4085,0.054369670702373044,212747272.029442,1.4664084498659709,[0.04897486 0.05867405],[2.08119390e+08 2.18557608e+08],[1.45090412 1.47996278]
NGC2915,0.004546865178290697,557530474.3978094,0.4918903763009722,[0.00103018 0.01164472],[5.37110414e+08 5.77622848e+08],[0.48264439 0.50175751]
